[root][2020-07-24 18:55:00][2020-07-24 18:55:00][     50678]:  element_hpi,压缩并导出
[root][2020-07-24 18:55:00][2020-07-24 18:55:00][     50678]:  数据库表element_kp 导出数据, 2条
[root][2020-07-24 18:55:00][2020-07-24 18:55:00][     50678]:  element_kp,压缩并导出
[root][2020-07-24 18:55:00][2020-07-24 18:55:00][     50678]:  数据库 element_rad,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 18:55:00][2020-07-24 18:55:00][     50678]:  数据库 element_ssn,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 18:55:00][2020-07-24 18:55:00][     50678]:  数据库 element_ste_het,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 18:55:00][2020-07-24 18:55:00][     50678]:  数据库 element_ste_mag,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 18:55:00][2020-07-24 18:55:00][     50678]:  数据库 element_ste_sw,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 18:55:00][2020-07-24 18:55:00][     50678]:  数据库 element_swpc_flare,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 18:55:00][2020-07-24 18:55:00][     50678]:  数据库 element_tec,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 18:55:00][2020-07-24 18:55:00][     50678]:  数据库表event_configuration 导出数据, 19条
[root][2020-07-24 18:55:00][2020-07-24 18:55:00][     50678]:  事件等级配置表event_configuration,压缩并导出
[root][2020-07-24 18:56:43][2020-07-24 18:56:43][     51002]:  数据库表data_file_info 导出数据, 152条
[root][2020-07-24 18:56:43][2020-07-24 18:56:43][     51002]:  收集数据data,压缩并导出
[root][2020-07-24 18:56:43][2020-07-24 18:56:43][     51002]:  数据库 product_file_info,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 18:56:43][2020-07-24 18:56:43][     51002]:  数据库 alert_file_info,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 18:56:43][2020-07-24 18:56:43][     51002]:  数据库 report_file_info,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 18:56:43][2020-07-24 18:56:43][     51002]:  数据库 element_ace_ep,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 18:56:43][2020-07-24 18:56:43][     51002]:  数据库 element_ace_mag,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 18:56:43][2020-07-24 18:56:43][     51002]:  数据库 element_ace_sis,产品不存在,时间段2020-07-24 2020-07-24
[root][2020-07-24 18:56:43][2020-07-24 18:56:43][     51002]:  数据库 element_ace_sw,产品不存在,时间段2020-07-24 2020-07-24
